0.000000,0.000000,0.770844,-0.033176,0.011735,-0.140205,0.989497,0.130451,0.003974,0.366009,0.271269,-0.454255,0.090240,-0.510356,0.005775,-0.271687,0.287395,-0.279372,0.168815,-0.215249,0.081552,0.120023,-0.098828,1.014016,0.323350,-0.150302,0.538533,0.445582,-0.063436,0.540687,0.152385,-0.373797,0.162325,-0.757386,0.159573,-0.264491
0.021090,-0.008720,0.771523,-0.035891,0.017218,-0.125602,0.991282,0.149885,0.014075,0.321144,0.269235,-0.436435,0.069327,-0.479734,0.028591,-0.232042,0.296313,-0.277308,0.152202,-0.232865,0.097871,0.107633,-0.102781,1.036194,0.234514,-0.083297,0.484380,0.430046,-0.130856,0.538077,0.162244,-0.412701,0.136711,-0.742015,0.144548,-0.308205
0.043917,-0.018277,0.774022,-0.036207,0.017290,-0.105566,0.993602,0.178026,0.023506,0.271619,0.280840,-0.424162,0.041236,-0.419897,0.060586,-0.162148,0.290695,-0.262199,0.172518,-0.253629,0.108067,0.090665,-0.103405,1.060600,0.090806,0.010602,0.452298,0.433826,-0.200652,0.542391,0.180880,-0.463933,0.085406,-0.706605,0.117073,-0.363181
0.067628,-0.028417,0.774142,-0.038891,0.014779,-0.086069,0.995420,0.206493,0.041167,0.218026,0.303341,-0.409806,0.007337,-0.359500,0.091493,-0.118205,0.271579,-0.216214,0.163328,-0.270448,0.112911,0.074296,-0.105189,1.106986,-0.115915,0.090074,0.532834,0.420416,-0.238887,0.540116,0.223378,-0.521138,0.001697,-0.607443,0.074635,-0.443250
0.091691,-0.038673,0.771916,-0.045687,0.010666,-0.078564,0.995804,0.199574,0.074330,0.177598,0.410267,-0.386165,-0.033365,-0.317845,0.108081,-0.134761,0.263931,-0.119560,0.144604,-0.277738,0.117882,0.068076,-0.104304,1.126547,-0.270991,0.120224,0.664428,0.359174,-0.203654,0.503095,0.264150,-0.557809,-0.117043,-0.475806,0.055504,-0.528447
0.115476,-0.048921,0.767843,-0.053933,0.000648,-0.079902,0.995342,0.146757,0.120418,0.152276,0.626820,-0.309132,-0.089292,-0.298099,0.131336,-0.145551,0.336157,-0.130152,0.107308,-0.279962,0.123077,0.073986,-0.067942,0.997677,-0.265551,0.142349,0.650617,0.341663,0.007520,0.454004,0.281425,-0.582315,-0.221046,-0.374665,0.046872,-0.634625
0.138984,-0.058904,0.764517,-0.067736,-0.012970,-0.073298,0.994923,0.054234,0.182485,0.100653,0.900648,-0.212030,-0.225941,-0.254632,0.165217,-0.167168,0.371896,-0.150759,0.027234,-0.273714,0.124732,0.083509,0.004063,0.794693,-0.169077,0.143430,0.550270,0.340326,0.301766,0.406825,0.291705,-0.596614,-0.309795,-0.306798,0.031004,-0.735748
0.162830,-0.068261,0.760848,-0.081220,-0.028858,-0.058399,0.994565,-0.060430,0.234019,0.050326,1.192855,-0.170767,-0.246184,-0.190714,0.195899,-0.194310,0.379941,-0.183044,-0.032299,-0.258412,0.123791,0.094843,0.089760,0.609864,-0.096390,0.120054,0.494511,0.306113,0.523752,0.368623,0.287426,-0.604059,-0.384460,-0.284749,0.004972,-0.808536
0.186719,-0.076227,0.757735,-0.090087,-0.044017,-0.055567,0.993408,-0.177784,0.252182,-0.048461,1.462282,-0.217612,-0.231495,-0.130027,0.222785,-0.200600,0.392863,-0.223893,-0.053317,-0.227686,0.126276,0.111451,0.168792,0.432247,-0.029197,0.084588,0.474646,0.276265,0.638141,0.328201,0.244281,-0.608530,-0.445094,-0.307303,-0.013651,-0.848530
0.209281,-0.082572,0.755037,-0.096110,-0.056370,-0.052479,0.992387,-0.309857,0.243729,-0.122657,1.692211,-0.254767,-0.142711,-0.085249,0.237808,-0.212142,0.424167,-0.262728,-0.062247,-0.191938,0.128120,0.130071,0.233543,0.259760,0.017770,0.063838,0.449204,0.248160,0.684256,0.274848,0.171596,-0.633244,-0.487956,-0.351982,-0.012102,-0.866020
